Group,lambda_wt
Grp964,-3.95
Grp715,6.09
Grp381,-1.3
Grp1248,-7.35
Grp1335,-5.15
Grp1346,-9.15
Grp305,0.83
Grp1158,3.7
Grp142,-0.95
Grp430,1.09
Grp1258,-10.13
Grp635,-4.86
Grp269,-3.89
Grp1165,3.29
Grp1070,-7.54
Grp915,-3.93
Grp764,-4.03
Grp778,-9.09
Grp1198,-4.21
Grp1303,4.54
Grp19,0.98
Grp478,2.48
Grp1375,-8.4
Grp280,-1.08
Grp860,-3.13
Grp965,-3.36
Grp333,0.84
Grp861,-4.48
Grp881,-5.4
Grp1229,2.8
Grp583,-7.42
Grp809,-3.91
Grp974,-4.66
Grp390,-1.97
Grp1399,4.63
Grp1175,-8.46
Grp204,-1.46
Grp1366,-13.24
Grp194,-2.22
Grp1203,7.29
Grp90,0.33
Grp103,0.44
Grp1330,-7.3
Grp799,-3.23
Grp705,5.09
Grp691,5.19
Grp1201,5.24
Grp73,-0.68
Grp717,2.73
Grp234,-0.85
Grp219,0.7
Grp988,3.14
Grp1033,5.7
Grp94,-1.6
Grp1331,-7.19
Grp980,-10.79
Grp784,-8.08
Grp99,-1.86
Grp368,0.95
Grp1202,-3.87
Grp623,2.49
Grp770,-4.53
Grp653,-2.42
Grp274,0.74
Grp1284,5.88
Grp460,1.84
Grp172,1.64
Grp212,0.04
Grp360,-3.35
Grp972,4.16
Grp948,-3.5
Grp122,-1.01
Grp1241,-11.57
Grp796,-5.17
Grp1290,-6.96
Grp886,3.55
Grp398,-3.51
Grp74,0.28
Grp416,1.7
Grp377,-3.11
Grp913,-2.78
Grp385,-3.2
Grp462,2.26
Grp544,-1.88
Grp1096,-9.98
Grp424,1.83
Grp1016,-10.75
Grp223,-3.05
Grp267,-1.49
Grp1179,-6.95
Grp308,1.47
Grp107,-1.89
Grp222,-4.64
Grp1356,-4.98
Grp990,-14.56
Grp1267,-5.77
Grp1266,-7.53
Grp688,3.85
Grp763,-5.52
Grp1145,-9.07
Grp1160,-6.91
Grp186,-0.54
Grp1163,-6.42
Grp49,-0.59
Grp1306,-7.77
Grp358,1.07
Grp1236,-14.95
Grp661,-13.62
Grp469,2.28
Grp1136,4.88
Grp1309,-6.02
Grp226,0.35
Grp130,-6.58
Grp207,-1.44
Grp1196,4.17
Grp322,-1.98
Grp1332,4.01
Grp298,1.19
Grp1051,-3.96
Grp607,3.36
Grp1142,-2.89
Grp1082,4.93
Grp39,-0.12
Grp1193,2.84
Grp1353,-6.8
Grp522,-2.28
Grp901,-3.68
Grp1006,-12.38
Grp1225,3.27
Grp239,-1.41
Grp754,-8.89
Grp155,-0.7
Grp202,0.85
Grp1055,-3.7
Grp176,-0.75
Grp266,-2.8
Grp343,-2.6
Grp361,-4.12
Grp299,1.48
Grp902,5.23
Grp550,2.79
Grp1283,5.63
Grp84,-0.64
Grp1212,4.22
Grp1215,4.47
Grp51,0.02
Grp507,-1.71
Grp301,-1.26
Grp986,-8.53
Grp27,-0.15
Grp627,3.0
Grp959,-4.26
Grp17,0.05
Grp133,-0.56
Grp62,0.5
Grp889,4.06
Grp459,1.86
Grp975,-7.21
Grp788,-3.32
Grp473,2.14
Grp1208,-6.87
Grp685,4.69
Grp750,-9.39
Grp1301,-3.97
Grp998,-13.42
Grp125,-0.58
Grp148,-1.52
Grp1108,-6.28
Grp1093,-4.99
Grp486,1.92
Grp168,-4.14
Grp1062,3.18
Grp273,-1.18
Grp96,0.06
Grp113,-0.38
Grp363,-1.43
Grp726,-3.79
Grp1219,-8.15
Grp1359,-6.15
Grp121,-0.39
Grp143,0.0
Grp568,-5.25
Grp676,3.2
Grp1263,-7.04
Grp1355,-6.46
Grp264,-0.5
Grp595,2.55
Grp823,-3.86
Grp1103,-8.11
Grp599,2.35
Grp111,-0.63
Grp1398,6.12
Grp1011,-8.25
Grp307,1.23
Grp1244,-9.94
Grp831,-5.36
Grp182,1.05
Grp146,-0.49
Grp1206,7.75
Grp338,1.31
Grp648,-2.06
Grp858,-2.86
Grp612,-14.69
Grp134,-0.69
Grp904,5.49
Grp1275,3.35
Grp1004,-9.56
Grp479,2.74
Grp1073,-7.03
Grp319,1.55
Grp61,0.23
Grp66,-0.67
Grp493,2.09
Grp634,-18.05
Grp415,2.43
Grp525,-1.75
Grp1307,5.55
Grp744,-10.64
Grp729,-1.9
Grp539,5.65
Grp1094,-5.97
Grp126,0.47
Grp922,-3.84
Grp576,-11.54
Grp1133,-8.66
Grp564,-1.64
Grp310,-1.99
Grp1278,4.37
Grp1097,-10.31
Grp911,-2.66
Grp946,-2.36
Grp1189,7.23
Grp973,-2.51
Grp1057,2.92
Grp1358,-6.14
Grp1386,-13.2
Grp1174,-4.84
Grp1056,-3.75
Grp1319,6.56
Grp1393,-7.49
Grp1140,-6.16
Grp1354,-10.27
Grp644,2.85
Grp404,1.61
Grp72,-0.21
Grp1119,-7.46
Grp30,0.27
Grp1363,-13.73
Grp853,-3.12
Grp336,1.87
Grp1285,6.14
Grp1314,-10.26
Grp314,1.22
Grp242,-1.23
Grp821,-3.01
Grp29,0.77
Grp283,1.27
Grp446,1.51
Grp383,1.12
Grp138,-1.51
Grp451,1.76
Grp710,5.59
Grp179,-0.87
Grp556,2.42
Grp1024,-10.9
Grp441,1.85
Grp181,0.4
Grp1197,4.89
Grp765,-4.3
Grp477,2.27
Grp463,3.03
Grp630,2.64
Grp1083,7.18
Grp1098,7.42
Grp1322,-7.91
Grp639,-4.61
Grp711,6.19
Grp537,-2.27
Grp615,-18.82
Grp761,-4.92
Grp926,-2.65
Grp917,-9.66
Grp1276,-7.34
Grp596,2.77
Grp1111,5.22
Grp811,-10.41
Grp815,-4.31
Grp1200,5.0
Grp1192,5.62
Grp2,-0.17
Grp772,-9.3
Grp700,4.59
Grp46,0.42
Grp1183,-5.01
Grp649,3.89
Grp337,2.15
Grp690,-14.49
Grp1046,-4.75
Grp835,-3.56
Grp1023,4.66
Grp282,1.38
Grp728,3.65
Grp326,-3.66
Grp443,1.89
Grp227,-1.69
Grp426,1.8
Grp611,-9.63
Grp76,-0.2
Grp1295,-5.55
Grp365,-3.43
Grp434,1.71
Grp291,-1.81
Grp1231,-15.62
Grp790,-3.8
Grp1000,-13.91
Grp435,1.72
Grp847,-2.97
Grp81,-0.93
Grp843,6.63
Grp225,0.63
Grp805,-3.94
Grp1101,3.12
Grp1234,-14.09
Grp236,-1.8
Grp118,-0.46
Grp288,-1.09
Grp1269,-6.26
Grp65,-1.25
Grp388,1.15
Grp1185,-6.13
Grp20,1.13
Grp78,0.29
Grp391,-2.76
Grp855,-5.29
Grp1035,3.23
Grp440,1.46
Grp833,-5.71
Grp1146,3.47
Grp538,-1.93
Grp982,-10.72
Grp1242,-8.65
Grp696,5.69
Grp594,-3.45
Grp1282,-6.75
Grp581,-7.51
Grp722,-11.64
Grp154,-0.45
Grp795,-6.83
Grp912,-3.78
Grp348,-2.35
Grp825,-4.83
Grp511,2.19
Grp41,-0.34
Grp1178,-5.44
Grp350,1.18
Grp427,1.35
Grp193,-0.6
Grp6,-1.32
Grp1261,-7.32
Grp572,-6.59
Grp98,0.9
Grp265,-1.29
Grp883,-5.14
Grp257,-2.03
Grp24,0.1
Grp707,5.34
Grp373,3.95
Grp1191,4.26
Grp961,-3.63
Grp830,-5.57
Grp1390,-8.39
Grp83,-3.28
Grp730,-11.39
Grp779,-8.83
Grp956,-3.55
Grp487,2.25
Grp804,-4.45
Grp272,-1.13
Grp1038,5.76
Grp501,2.56
Grp279,-1.57
Grp1326,-5.47
Grp8,-0.44
Grp993,-16.34
Grp1141,-5.92
Grp492,1.66
Grp540,2.37
Grp461,2.66
Grp1372,-12.45
Grp916,-3.03
Grp1251,-4.6
Grp1040,-3.61
Grp295,0.91
Grp369,-3.29
Grp1199,-5.67
Grp545,2.38
Grp378,1.1
Grp1085,3.37
Grp71,-0.53
Grp1381,-10.15
Grp304,-0.79
Grp905,-2.96
Grp929,-7.89
Grp1120,-3.14
Grp513,2.33
Grp846,-10.38
Grp31,-0.22
Grp731,-11.14
Grp885,4.03
Grp1320,-7.13
Grp47,-0.07
Grp1091,3.6
Grp597,2.99
Grp26,-0.04
Grp582,2.47
Grp458,1.93
Grp558,-6.08
Grp674,2.76
Grp569,2.58
Grp655,3.1
Grp828,-3.26
Grp190,-2.92
Grp864,-1.91
Grp34,-1.04
Grp900,-2.57
Grp836,-2.37
Grp21,0.08
Grp1308,-5.11
Grp1069,-4.52
Grp399,1.3
Grp1134,-6.44
Grp1113,-11.09
Grp198,0.72
Grp927,-3.0
Grp214,0.92
Grp40,-0.41
Grp1007,-2.44
Grp771,-2.29
Grp1117,2.83
Grp313,1.34
Grp684,3.61
Grp1280,5.38
Grp465,2.24
Grp610,-19.21
Grp328,-4.2
Grp1032,-8.51
Grp907,-4.05
Grp48,0.37
Grp1001,-10.47
Grp1268,-5.45
Grp349,1.5
Grp1273,-5.18
Grp895,-2.53
Grp405,1.41
Grp28,0.52
Grp787,-7.83
Grp1383,4.21
Grp108,0.19
Grp464,2.02
Grp412,1.63
Grp697,-13.76
Grp1159,-6.19
Grp54,-0.94
Grp189,-2.46
Grp887,3.81
Grp359,-3.09
Grp510,2.21
Grp470,2.23
Grp647,2.4
Grp229,0.76
Grp565,-6.21
Grp875,-3.62
Grp952,-2.71
Grp139,0.41
Grp1361,-14.27
Grp1060,-6.67
Grp1127,3.38
Grp585,-10.92
Grp362,-2.18
Grp1328,4.04
Grp311,-1.85
Grp275,0.81
Grp560,-10.73
Grp626,-1.96
Grp407,1.75
Grp85,-1.48
Grp1153,-4.25
Grp909,-3.57
Grp551,-2.3
Grp600,-2.43
Grp1246,4.23
Grp981,3.3
Grp1367,6.6
Grp75,0.8
Grp346,0.89
Grp1297,-7.95
Grp1052,-4.19
Grp658,3.39
Grp211,-4.41
Grp733,3.25
Grp1300,-5.54
Grp1025,4.91
Grp1216,4.71
Grp969,5.16
Grp678,3.69
Grp776,-3.41
Grp197,0.58
Grp543,-1.83
Grp842,-4.54
Grp850,-3.08
Grp777,-6.57
Grp755,-5.87
Grp954,-3.48
Grp591,-4.82
Grp1376,-8.56
Grp355,-1.53
Grp149,-1.31
Grp1029,-10.74
Grp1292,3.52
Grp147,0.43
Grp1260,3.54
Grp534,3.4
Grp1305,4.74
Grp10,0.36
Grp832,-3.81
Grp932,-7.69
Grp93,-0.02
Grp1253,-12.91
Grp342,-1.77
Grp868,-3.9
Grp91,0.26
Grp526,4.13
Grp803,-4.85
Grp252,-0.72
Grp552,2.51
Grp1090,-4.76
Grp535,-2.49
Grp12,-0.18
Grp758,-9.83
Grp158,-1.95
Grp357,-1.62
Grp329,-4.91
Grp657,2.68
Grp633,-13.88
Grp1164,-5.34
Grp1068,4.87
Grp180,0.69
Grp852,-8.52
Grp890,-4.74
Grp577,-4.08
Grp1389,-8.62
Grp1102,-5.42
Grp1360,-8.72
Grp921,-2.73
Grp1118,-4.69
Grp270,-6.33
Grp941,-4.34
Grp364,-2.1
Grp686,4.94
Grp1155,-4.67
Grp756,-8.64
Grp578,-1.39
Grp246,-1.79
Grp228,0.6
Grp1166,-5.93
Grp555,2.54
Grp910,-2.17
Grp989,-4.04
Grp1243,-14.03
Grp524,2.44
Grp201,-0.01
Grp101,-1.72
Grp287,-4.44
Grp532,5.75
Grp579,-7.68
Grp680,4.19
Grp1115,-5.88
Grp1259,-9.91
Grp944,6.61
Grp1245,-6.55
Grp1181,-4.43
Grp718,-11.89
Grp1005,-9.8
Grp930,-8.05
Grp636,2.82
Grp813,-4.56
Grp389,-4.01
Grp849,-2.81
Grp79,-2.68
Grp396,-3.42
Grp70,0.2
Grp250,-2.15
Grp216,-1.35
Grp344,-1.33
Grp35,-0.19
Grp942,-4.07
Grp13,-0.73
Grp258,-1.5
Grp923,-2.99
Grp812,-4.1
Grp574,-9.06
Grp947,-3.16
Grp382,-4.46
Grp238,0.99
Grp419,1.82
Grp323,-6.09
Grp1195,3.92
Grp82,0.09
Grp1396,-7.44
Grp1324,-7.67
Grp1080,-6.4
Grp1339,4.99
Grp1274,-6.5
Grp366,-1.16
Grp794,-7.08
Grp499,3.11
Grp7,0.07
Grp748,-9.64
Grp871,-2.82
Grp1352,-4.97
Grp1043,5.95
Grp903,-2.67
Grp1063,3.17
Grp659,-17.23
Grp735,3.5
Grp580,-7.02
Grp588,2.75
Grp294,-1.06
Grp115,-1.84
Grp689,3.59
Grp958,-2.9
Grp670,-9.81
Grp841,-1.02
Grp692,5.44
Grp260,0.94
Grp856,-3.92
Grp671,-14.67
Grp1122,-5.24
Grp810,-4.17
Grp1347,-4.94
Grp475,2.16
Grp87,0.48
Grp163,-1.03
Grp80,-1.11
Grp208,-1.28
Grp587,-3.74
Grp109,1.26
Grp1042,6.24
Grp205,-0.84
Grp165,-0.33
Grp183,-0.89
Grp542,2.67
Grp664,-10.14
Grp169,-0.13
Grp55,0.31
Grp553,2.65
Grp863,4.31
Grp187,-1.14
Grp848,-2.56
Grp152,0.54
Grp241,1.24
Grp629,3.21
Grp994,-13.04
Grp438,1.39
Grp22,0.03
Grp393,-2.47
Grp100,-0.25
Grp240,-3.99
Grp1377,-12.16
Grp278,-1.55
Grp528,2.7
Grp1224,-9.96
Grp879,-3.98
Grp253,-1.7
Grp1311,-11.0
Grp3,-0.29
Grp509,-4.16
Grp474,2.88
Grp749,-3.64
Grp331,-3.77
Grp978,4.95
Grp1316,-10.52
Grp276,-3.19
Grp704,-13.27
Grp1171,-18.39
Grp43,-0.06
Grp1109,7.67
Grp638,-17.72
Grp1310,-11.22
Grp428,1.78
Grp1323,4.4
Grp1058,3.42
Grp768,-2.2
Grp444,1.6
Grp321,-1.38
Grp1337,3.64
Grp482,2.2
Grp1071,-8.98
Grp472,2.11
Grp1327,-7.73
Grp345,1.11
Grp1238,-11.41
Grp1152,-6.43
Grp45,0.14
Grp496,2.34
Grp675,2.95
Grp318,1.36
Grp432,1.44
Grp720,3.13
Grp423,1.57
Grp985,-17.62
Grp719,6.94
Grp598,2.72
Grp88,0.51
Grp762,-2.87
Grp1385,-11.08
Grp1014,-5.16
Grp151,0.88
Grp135,-0.42
Grp192,-2.24
Grp1302,-7.86
Grp417,1.4
Grp914,-4.22
Grp1336,-6.62
Grp561,-9.18
Grp1190,3.04
Grp924,-2.55
Grp687,-1.73
Grp818,-5.58
Grp592,-3.83
Grp129,0.62
Grp789,-7.58
Grp203,-0.88
Grp925,-9.38
Grp523,-2.64
Grp285,-2.31
Grp145,0.25
Grp480,2.18
Grp714,6.44
Grp110,0.12
Grp9,-0.1
Grp1081,-4.68
Grp1064,-4.81
Grp759,-9.57
Grp454,1.96
Grp701,4.84
Grp621,-2.95
Grp894,-3.34
Grp490,2.05
Grp1084,4.28
Grp586,-10.86
Grp1132,4.39
Grp64,-0.35
Grp1,-0.14
Grp452,1.69
Grp421,1.94
Grp996,-14.11
Grp450,1.91
Grp1279,4.62
Grp376,3.19
Grp1128,-6.04
Grp1329,-4.72
Grp1186,4.07
Grp1182,2.69
Grp1388,-13.01
Grp1131,4.14
Grp173,-0.57
Grp63,-2.84
Grp341,-1.17
Grp514,2.29
Grp791,-7.33
Grp488,2.13
Grp395,-3.44
Grp374,4.2
Grp554,-2.25
Grp743,-10.89
Grp1151,-5.2
Grp220,1.0
Grp624,-18.49
Grp69,0.59
Grp516,3.28
Grp1325,-7.45
Grp1272,-8.49
Grp455,1.62
Grp293,0.97
Grp679,3.94
Grp602,2.98
Grp1344,-4.78
Grp1255,-8.88
Grp1088,-4.51
Grp660,2.6
Grp456,1.68
Grp1100,-9.47
Grp178,-3.39
Grp86,0.34
Grp1249,-7.38
Grp498,2.62
Grp584,-9.41
Grp1256,-6.11
Grp1294,-7.36
Grp773,-3.33
Grp567,-4.57
Grp232,0.75
Grp1220,-5.41
Grp1138,-5.8
Grp286,-0.92
Grp1177,-7.76
Grp613,-5.82
Grp1107,-6.17
Grp1176,-6.37
Grp882,-3.25
Grp420,2.0
Grp808,-3.18
Grp1065,6.68
Grp807,-5.03
Grp1144,-4.59
Grp666,-13.13
Grp1061,-3.82
Grp723,7.19
Grp1384,-6.03
Grp1021,3.16
Grp371,-1.34
Grp306,1.29
Grp698,3.68
Grp997,-14.98
Grp1257,-10.24
Grp11,-0.32
Grp177,-2.39
Grp1170,-7.17
Grp316,1.16
Grp1395,-7.74
Grp1077,10.53
Grp1161,-6.66
Grp1227,-4.93
Grp447,1.58
Grp645,2.96
Grp977,-5.07
Grp116,-0.55
Grp563,-1.94
Grp521,-4.5
Grp1110,-7.14
Grp751,-1.63
Grp327,1.43
Grp1148,4.48
Grp402,2.06
Grp747,-9.89
Grp1157,-7.16
Grp662,-11.85
Grp767,-3.47
Grp1341,-9.27
Grp1350,5.18
Grp654,4.41
Grp18,-0.37
Grp826,-2.19
Grp896,-2.93
Grp1380,5.86
Grp878,3.76
Grp677,3.45
Grp601,-3.58
Grp249,1.98
Grp1298,-8.57
Grp533,-1.67
Grp259,-0.82
Grp1217,-11.53
Grp1180,-5.05
Grp781,-5.28
Grp1345,3.62
Grp196,0.68
Grp292,1.2
Grp123,-0.77
Grp950,-5.27
Grp798,-4.96
Grp703,-13.52
Grp1228,-15.39
Grp1044,6.99
Grp401,1.88
Grp650,4.05
Grp884,-6.9
Grp869,3.01
Grp1342,-7.71
Grp1205,3.96
Grp976,-1.87
Grp354,-3.59
Grp44,-0.05
Grp814,-5.85
Grp1254,-11.87
Grp150,-1.4
Grp867,5.46
Grp97,-1.61
Grp955,-2.33
Grp200,-0.52
Grp589,-2.23
Grp224,0.64
Grp218,0.73
Grp1318,-6.99
Grp403,1.54
Grp739,4.25
Grp1188,4.73
Grp309,-1.58
Grp504,-1.54
Grp737,4.0
Grp618,-8.14
Grp491,2.31
Grp77,-4.32
Grp67,0.45
Grp209,-1.19
Grp859,-4.28
Grp320,-3.1
Grp945,6.72
Grp1213,-6.65
Grp931,-7.63
Grp335,-0.97
Grp992,-15.45
Grp261,-0.51
Grp429,1.42
Grp1045,-7.05
Grp628,-2.7
Grp217,-2.01
Grp1312,5.39
Grp352,1.04
Grp127,0.3
Grp837,-5.32
Grp439,2.08
Grp1104,-7.97
Grp1066,-7.75
Grp1351,-12.46
Grp1129,-4.79
Grp339,-1.15
Grp117,-2.45
Grp199,-0.98
Grp984,3.72
Grp325,0.86
Grp92,0.56
Grp418,1.9
Grp937,-2.85
Grp827,-10.01
Grp774,-3.07
Grp1365,-13.48
Grp531,-2.11
Grp742,-4.58
Grp793,3.58
Grp112,-1.42
Grp1003,-10.97
Grp494,-2.12
Grp817,-3.53
Grp453,2.01
Grp1333,-7.06
Grp702,-12.61
Grp1343,4.38
Grp411,1.79
Grp1130,3.9
Grp928,-8.42
Grp797,3.79
Grp156,-0.08
Grp706,-12.4
Grp468,2.07
Grp160,0.11
Grp380,0.87
Grp1364,4.52
Grp604,4.27
Grp971,-2.61
Grp1067,3.56
Grp640,2.32
Grp673,3.43
Grp497,-4.63
Grp870,3.26
Grp1204,7.52
Grp854,-2.69
Grp379,-1.37
Grp57,0.32
Grp195,-2.0
Grp1397,3.97
Grp1054,3.05
Grp410,1.97
Grp184,-0.03
Grp1262,3.57
Grp303,-1.05
Grp547,-2.5
Grp517,3.53
Grp962,-2.98
Grp1089,5.4
Grp716,6.69
Grp934,2.78
Grp141,0.18
Grp413,2.17
Grp800,-6.05
Grp255,-0.81
Grp1304,4.55
Grp646,3.06
Grp656,-13.78
Grp268,-1.56
Grp893,4.75
Grp1114,-6.6
Grp15,-0.47
Grp801,-4.7
Grp1223,-7.01
Grp1230,-15.3
Grp1382,6.88
Grp520,4.29
Grp549,2.41
Grp562,-9.25
Grp159,0.65
Grp1315,-5.72
Grp995,-12.62
Grp631,-3.54
Grp384,-3.65
Grp437,1.81
Grp248,0.49
Grp546,2.52
Grp792,-2.14
Grp164,0.55
Grp508,2.22
Grp1362,-13.97
Grp1173,-7.11
Grp1222,-7.26
Grp1015,-6.92
Grp1357,-7.62
Grp979,2.91
Grp1239,-13.25
Grp865,4.96
Grp951,4.77
Grp174,-0.62
Grp1270,-7.15
Grp1137,-6.68
Grp806,-6.07
Grp1184,-4.35
Grp953,-3.49
Grp1126,-6.35
Grp987,-8.23
Grp548,-6.77
Grp42,0.21
Grp231,-0.96
Grp816,-3.88
Grp1099,-9.58
Grp392,-2.48
Grp1010,-8.59
Grp663,-13.38
Grp732,-1.78
Grp375,-4.55
Grp1379,5.61
Grp1008,-4.37
Grp608,4.76
Grp617,-5.43
Grp840,-7.31
Grp262,-1.76
Grp1086,5.37
Grp1078,-5.04
Grp512,2.45
Grp1349,4.32
Grp431,1.77
Grp1123,3.32
Grp191,-3.21
Grp1391,-7.41
Grp939,5.33
Grp1299,-6.18
Grp471,2.53
Grp1214,-10.19
Grp999,-13.69
Grp920,-2.79
Grp1030,-5.31
Grp1041,5.98
Grp681,4.44
Grp1017,-8.04
Grp1296,-7.47
Grp665,-1.82
Grp667,-15.07
Grp485,1.99
Grp171,-0.3
Grp1028,2.97
Grp317,-2.02
Grp970,5.13
Grp1226,-8.55
Grp157,-1.65
Grp206,-0.76
Grp1075,-6.53
Grp1264,-7.09
Grp433,1.25
Grp356,-0.99
Grp1106,-5.59
Grp105,0.53
Grp694,4.09
Grp506,-2.04
Grp888,-4.39
Grp1247,5.99
Grp851,-8.78
Grp824,-4.06
Grp1293,-5.75
Grp918,-11.18
Grp1074,-6.78
Grp89,-0.11
Grp210,-1.47
Grp1121,-6.23
Grp829,-5.51
Grp757,-2.74
Grp1125,2.9
Grp740,3.73
Grp1139,-5.81
Grp1076,6.93
Grp1105,-10.02
Grp340,1.17
Grp1149,-4.77
Grp1286,6.39
Grp957,-3.85
Grp1209,4.68
Grp1340,5.12
Grp822,-5.08
Grp1370,-5.76
Grp263,-2.59
Grp170,0.61
Grp820,-5.33
Grp132,-0.27
Grp136,-1.27
Grp724,7.44
Grp669,3.07
Grp1233,-14.12
Grp408,1.32
Grp1002,-11.47
Grp570,-6.61
Grp1369,-9.86
Grp536,-2.16
Grp397,-2.54
Grp457,2.03
Grp144,-0.86
Grp442,1.45
Grp899,5.02
Grp53,-0.78
Grp425,1.65
Grp1162,3.49
Grp302,-3.24
Grp235,-1.1
Grp162,-1.22
Grp256,-0.71
Grp668,2.86
Grp1371,-10.54
Grp36,0.15
Grp251,0.57
Grp571,2.61
Grp1291,-7.12
Grp682,3.08
Grp1317,-5.39
Grp1237,-14.22
Grp873,-3.02
Grp436,1.67
Grp247,1.73
Grp651,2.59
Grp445,1.53
Grp1087,5.14
Grp140,-2.38
Grp1037,-3.15
Grp120,-0.91
Grp741,-1.68
Grp530,-1.92
Grp1288,6.89
Grp1167,-4.18
Grp746,-10.39
Grp616,-9.44
Grp683,3.34
Grp495,2.36
Grp32,1.01
Grp332,0.93
Grp1313,-4.62
Grp745,4.5
Grp839,-9.26
Grp59,0.01
Grp244,-1.24
Grp872,3.51
Grp590,-5.06
Grp1232,-15.02
Grp780,-8.58
Grp102,-0.4
Grp1049,4.11
Grp422,1.95
Grp1036,-5.21
Grp351,-1.74
Grp290,-3.76
Grp153,-0.36
Grp500,2.46
Grp908,-4.65
Grp527,2.57
Grp891,-3.71
Grp14,-1.07
Grp370,-1.36
Grp449,1.56
Grp1124,-7.65
Grp1012,-9.37
Grp906,-2.83
Grp1150,-6.71
Grp515,3.09
Grp33,-0.23
Grp949,-3.38
Grp124,-1.66
Grp38,-0.74
Grp1019,-8.2
Grp518,3.77
Grp406,1.37
Grp1368,-5.95
Grp330,1.33
Grp643,-2.26
Grp606,4.51
Grp502,3.84
Grp254,1.06
Grp935,-2.09
Grp708,-12.14
Grp838,-9.51
Grp1147,3.83
Grp991,-13.6
Grp367,-2.07
Grp963,-3.22
Grp603,4.02
Grp68,-0.26
Grp1047,3.46
Grp476,2.5
Grp652,-3.27
Grp734,2.93
Grp566,-6.76
Grp1172,-7.5
Grp575,-11.74
Grp541,2.39
Grp213,-4.29
Grp966,3.44
Grp137,0.22
Grp175,-1.21
Grp919,-2.91
Grp324,-4.4
Grp1187,-5.35
Grp892,4.24
Grp1072,-7.28
Grp785,-2.63
Grp50,0.79
Grp37,-0.16
